id,message,category
0,"Hoodie + Coat - Yes or No?

As for me, there is nothing better and more convenient than such a couple for daily routine worries that have to be done more often than bright events happen😉🤷🏼‍♀️

While it is still not too cold, the coat can be left open. The hoodie can be worn without an underlayer. However, it is also not forbidden to pry off the turtleneck to save the throat and tighten the belt on the coat.

#inspirationINVOGA",0
1,"A bit of street style from Paris Fashion Week Spring 2023:

- total denim, asymmetric denim, double waist,
- loose knit jersey,
- bomber jackets, leather coats, and trench coats,
- fit and transparency,
- balaclavas,
- over-the-knee boots and high boots

#inspirationINVOGA",0
2,"How happy I am when the roads of trends and conveniences coincide❤️ Aesthetics here also passed very close, at least in my opinion, although aesthetics, of course, are more subjective😉

One of the most joyful fall 2022 shoe trends I've met is colorful sneakers 🔴🟠🟡🟢🔵🟣 Bright, contrasting, a little crazy 🤪

And most importantly, don't limit yourself to styling them only in sports and casual. Colored sneakers will ideally relax a classic trouser suit. Аnd mix very well with a dress or a mini skirt (you can soften the transition from sneakers to the leg with white socks). Аnd ideally, complement the trendy midi or maxi skirt this fall.

As an illustrative example, I have collected the outfits of the local Italian star Chiara Ferragni, a well-known lover of bright sneakers. She even has a line of such under her own brand.

#shoes2022
#inspirationINVOGA",0
3,"☕️It's cloudy and rainy outside the window☔️. The mood is to wrap yourself in a knitted dress and enjoy your favorite cappuccio - what could be better for a Wednesday morning?

Favorite🏆 styles:
1. Knitted dress with sneakers
2. Knitted dress with trumpet/jockey boots that overlap with the dress.
3. Knitted dress overskirt
4. Knitted dress with rough, worn leather

#inspirationINVOGA",0
4,"Let's return today to the green💚 topic, which has not gone far from us, but on the contrary, has become even more comprehensive. And if earlier in total green we could look like a blade of grass in a May field, now everything is much more diverse.

Mix different shades of green - here is the color of fresh grass, mint candy, rich olive, and crispy pistachio. In general, there is where to roam. Get everything that is green and try to combine 👌🏼

#ADDcolors",0
5,"Acne Studios Spring 2023 on how to wear:

- lace with spikes
- chiffon with rough leather
- torn jersey with flounces
- chapped skin with floral choker
- jeans to the neckline (for those who missed the high waist 😂)
- bows instead of a bodice
- denim vest with sheer skirts
And use the bag as a means of self-defense 😉

#fashionweek",0
6,"And I have for you a new batch of fresh street shot by myself before the Elisabetta Franchi Spring 2023 show.

Minis, catsuits, heels, over the knee boots, hats, maxi flowers, slits and sexy in the truest sense of the Italians.

#fashionweek",0
7,"I went to Etro Spring 2023 street style for paints, prints, and textures, sharing the mood I caught there and photos made by my own hands 🤲🏼

I’ll start with the atmosphere, the show, and as a result, the street style took place in the industrial zone of Milan and was accompanied by a roar, howl, and signals of disgruntled trucks 🚚 🚛 , traffic that was not blocked, but photographers and street stylers scurrying everywhere and everywhere, significantly complicated it 🔴

And then everything is as expected - notes of ethnicity in the form of jersey with fringes, small and complex prints, bright saturated colors, patchwork, some leather, but more suede.

I have loved Etro for many years and have chosen the perfect accents for my wardrobe there! ❤️🤎

#inspirationINVOGA",0
8,"Fendi delighted everyone who bought green clothes last year and continued this grassy extravaganza in the Spring 2023 collection.

Handbags, slippers, boots, and even total-green 💚 Delicate pistachio and fresh mint were a plus to the herbal one. Honestly, it reminds me a little of the best times at Bottega. There are fluffy mules, a lot of knitwear, elongated sleeves, and shaggy textures. And from the special, I liked the delicate asymmetry and side slits on the sleeves and skirts.

#fashionweek",0
9,"In the meantime, Milan is taking over the baton of Fashion week, in which I am also going to participate and share with you. We review and study London street style.

Lots of ruffles and frills, puffed sleeves and huge collars, brocade and tulle combined with a bit of English stiffness, plaid, lots of Mary Jane variations, golfs, leather, and punk casualness 🎸 🤘🏼

#inspirationINVOGA",0
10,"How does minimalism merge with bright details, and what comes out?

As usual, one of the most wearable and easy to use in our everyday non-catwalk life COS with its Fall 2022 collection. Getting ready for the cold weather and see what will make our life more fun😉

1. Bright and flashy accessories - bags, scarves, hats
2. Animal print on outerwear and knitwear
3. Colored skin
4. Socks and stockings
5. Bright shirt fronts and balaclavas
6. Bright bottom layer in a layering

#inspirationINVOGA
#StylingMyself",0
11,"How to get placed in dozens of bloggers’ Stories through one service?

It’s getting effortless with the InstaJet platform: bloggers here can find advertisers for placements in Stories, and advertisers can find the most relevant blogs in the open Blogger Catalog.

The service developers run their Telegram channel @instajet_io, where they talk about using the service and share valuable information.

The main advantage of InstaJet is the automatization of the integration process with bloggers. No more lengthy approvals: there are only carefully picked bloggers for advertisers and only ready-made applications for cooperation for bloggers.

Join the InstaJet channel to keep up-to-date on all the news of the service: https://t.me/instajet_io",0
12,"Heading to NY for fashion week? 😉

Beautiful Carolina Herrera Spring 2023 with its already signature stripe 🖤 paired with a millefleur.

Large textile flowers were added to the tiny floral print, gorgeous flowered textile boots and sandals, clear reception of accent printed accessories - a clutch or a belt, a mix of flowers of different colors. And, according to tradition, many flying fabrics, ruffles, voluminous sleeves - in general, everything we expect from the spring collection.

#fashionweek",0
13,"And for many, the weather seems to hint and insist on outerwear. 🤷🏼‍♀️😊 We are discussing the bomber jacket as the discoverer of our autumn.

2 ways of modern styling:

1. Masculine style - with straight, almost masculine trousers, wide jeans, cargo, loafers and brogues, classic sneakers, shirts, basic t-shirts
2. Contrasting style - with mini or maxi skirts, dresses, lightweight materials, heels, and revealing cutouts

#inspirationINVOGA
#cutecoat",0
14,"Another little detail from the 2000s that I'm sure many of us remember is the zigzag parting. Let's draw and slick, just like Bella😉

#hairstyle",0
15,"Holes, scuffs, uneven denim edge - do not deny yourself anything except to combine 🙅🏻‍♀️ it all with a skinny silhouette. If you prefer grungy, then do it on any free jeans model.

#INVOGAdenim
#inspirationINVOGA",0
16,"It's already September, and you haven't walked up in your favorite sandals or sandals? Do not rush to put them away until next summer. Better get your socks🧦

The perfect time for the already recognized trend of open shoes + socks:

- masculine gray and black
- bright colors and prints
- woolen grandmothers

With sandals, heels, and even classic pumps❤️

#shoes2022",0
